,Model,Population,Target,Bin,Score
0,pls,adhd,WISC_FSIQ,All,0.37511998171226396
1,pls,adhd,WISC_FSIQ,Bin 1,0.24158598561860664
2,pls,adhd,WISC_FSIQ,Bin 2,0.4008513467440416
3,pls,adhd,WISC_FSIQ,Bin 3,0.12289878478619876
4,pls,adhd,WISC_VSI,All,0.34209481772486844
5,pls,adhd,WISC_VSI,Bin 1,0.24918279331010149
6,pls,adhd,WISC_VSI,Bin 2,0.23152469560198896
7,pls,adhd,WISC_VSI,Bin 3,0.12573458350195993
8,pls,adhd,WISC_VCI,All,0.3675079311666915
9,pls,adhd,WISC_VCI,Bin 1,0.2080438724351943
10,pls,adhd,WISC_VCI,Bin 2,0.38597205473639595
11,pls,adhd,WISC_VCI,Bin 3,0.046950912607936074
12,pls,adhd,WISC_FRI,All,0.2821699995189132
13,pls,adhd,WISC_FRI,Bin 1,0.01675883011165831
14,pls,adhd,WISC_FRI,Bin 2,0.3171390791384382
15,pls,adhd,WISC_FRI,Bin 3,0.02395721874957342
16,pls,adhd,WISC_WMI,All,0.19888605676420215
17,pls,adhd,WISC_WMI,Bin 1,0.07447325083662536
18,pls,adhd,WISC_WMI,Bin 2,0.30308691069702043
19,pls,adhd,WISC_WMI,Bin 3,0.1010216270395612
20,pls,adhd,WISC_PSI,All,0.11108070880671382
21,pls,adhd,WISC_PSI,Bin 1,-0.10987712135001906
22,pls,adhd,WISC_PSI,Bin 2,0.07019136413140661
23,pls,adhd,WISC_PSI,Bin 3,0.11621768799038763
