,Population,Target,Bin,Type,Description,ICC,F,df1,df2,pval,CI95%
0,adhd,WISC_FSIQ,All,ICC1,Single raters absolute,0.955,42.974,34715,34716,0.0,[0.95 0.96]
1,adhd,WISC_VSI,All,ICC1,Single raters absolute,0.783,8.213,34715,34716,0.0,[0.78 0.79]
2,adhd,WISC_VCI,All,ICC1,Single raters absolute,0.932,28.405,34715,34716,0.0,[0.93 0.93]
3,adhd,WISC_FRI,All,ICC1,Single raters absolute,0.901,19.119,34715,34716,0.0,[0.9 0.9]
4,adhd,WISC_WMI,All,ICC1,Single raters absolute,0.895,17.973,34715,34716,0.0,[0.89 0.9 ]
5,adhd,WISC_PSI,All,ICC1,Single raters absolute,0.746,6.889,34715,34716,0.0,[0.74 0.75]
6,adhd,WISC_FSIQ,Bin 1,ICC1,Single raters absolute,0.981,102.795,34715,34716,0.0,[0.98 0.98]
7,adhd,WISC_VSI,Bin 1,ICC1,Single raters absolute,0.9,18.949,34715,34716,0.0,[0.9 0.9]
8,adhd,WISC_VCI,Bin 1,ICC1,Single raters absolute,0.981,103.545,34715,34716,0.0,[0.98 0.98]
9,adhd,WISC_FRI,Bin 1,ICC1,Single raters absolute,0.98,96.743,34715,34716,0.0,[0.98 0.98]
10,adhd,WISC_WMI,Bin 1,ICC1,Single raters absolute,0.98,99.617,34715,34716,0.0,[0.98 0.98]
11,adhd,WISC_PSI,Bin 1,ICC1,Single raters absolute,0.419,2.445,34715,34716,0.0,[0.41 0.43]
12,adhd,WISC_FSIQ,Bin 2,ICC1,Single raters absolute,0.967,59.322,34715,34716,0.0,[0.97 0.97]
13,adhd,WISC_VSI,Bin 2,ICC1,Single raters absolute,0.577,3.723,34715,34716,0.0,[0.57 0.58]
14,adhd,WISC_VCI,Bin 2,ICC1,Single raters absolute,0.961,50.537,34715,34716,0.0,[0.96 0.96]
15,adhd,WISC_FRI,Bin 2,ICC1,Single raters absolute,0.955,43.043,34715,34716,0.0,[0.95 0.96]
16,adhd,WISC_WMI,Bin 2,ICC1,Single raters absolute,0.969,63.62,34715,34716,0.0,[0.97 0.97]
17,adhd,WISC_PSI,Bin 2,ICC1,Single raters absolute,0.971,68.255,34715,34716,0.0,[0.97 0.97]
18,adhd,WISC_FSIQ,Bin 3,ICC1,Single raters absolute,0.976,83.047,34715,34716,0.0,[0.98 0.98]
19,adhd,WISC_VSI,Bin 3,ICC1,Single raters absolute,0.872,14.599,34715,34716,0.0,[0.87 0.87]
20,adhd,WISC_VCI,Bin 3,ICC1,Single raters absolute,0.977,85.597,34715,34716,0.0,[0.98 0.98]
21,adhd,WISC_FRI,Bin 3,ICC1,Single raters absolute,0.93,27.586,34715,34716,0.0,[0.93 0.93]
22,adhd,WISC_WMI,Bin 3,ICC1,Single raters absolute,0.436,2.547,34715,34716,0.0,[0.43 0.44]
23,adhd,WISC_PSI,Bin 3,ICC1,Single raters absolute,0.978,89.387,34715,34716,0.0,[0.98 0.98]
