,Model,Population,Target,Bin,Score,P-value
0,pls,adhd,WISC_FSIQ,All,0.3249385531078012,0.000999666777740753
1,pls,adhd,WISC_FSIQ,Bin 1,0.029463888501006546,0.42919026991003
2,pls,adhd,WISC_FSIQ,Bin 2,0.3018020618030509,0.04565144951682772
3,pls,adhd,WISC_FSIQ,Bin 3,-0.13390471359664807,0.7017660779740087
4,pls,adhd,WISC_VSI,All,0.271811666276229,0.008330556481172943
5,pls,adhd,WISC_VSI,Bin 1,-0.21070805884531135,0.7940686437854049
6,pls,adhd,WISC_VSI,Bin 2,0.12713811160722369,0.2432522492502499
7,pls,adhd,WISC_VSI,Bin 3,0.04084947093271486,0.28357214261912694
8,pls,adhd,WISC_VCI,All,0.2851675206375037,0.007997334221926024
9,pls,adhd,WISC_VCI,Bin 1,-0.20436030819095927,0.8083972009330224
10,pls,adhd,WISC_VCI,Bin 2,0.42654637417351005,0.007664111962679107
11,pls,adhd,WISC_VCI,Bin 3,0.008369770949383846,0.45184938353882037
12,pls,adhd,WISC_FRI,All,0.2795554712030025,0.010663112295901367
13,pls,adhd,WISC_FRI,Bin 1,-0.22268493510879156,0.8010663112295902
14,pls,adhd,WISC_FRI,Bin 2,0.32040951346456614,0.02465844718427191
15,pls,adhd,WISC_FRI,Bin 3,-0.026517797207006925,0.4421859380206598
16,pls,adhd,WISC_WMI,All,0.2307787135587428,0.025324891702765744
17,pls,adhd,WISC_WMI,Bin 1,0.04848044412721367,0.384538487170943
18,pls,adhd,WISC_WMI,Bin 2,0.26669193335703745,0.05631456181272909
19,pls,adhd,WISC_WMI,Bin 3,0.04283529289604499,0.32289236921026326
20,pls,adhd,WISC_PSI,All,0.18266413023642086,0.06264578473842053
21,pls,adhd,WISC_PSI,Bin 1,0.10019942980441575,0.2785738087304232
22,pls,adhd,WISC_PSI,Bin 2,-0.02016372578146151,0.5471509496834388
23,pls,adhd,WISC_PSI,Bin 3,0.21132212887983756,0.13962012662445852
