,Model,Population,Target,Bin,Alpha,Score,P-value
0,ridge,adhd,WISC_FSIQ,All  ,20000,0.3314301066457989,0.0006664445184938354
1,ridge,adhd,WISC_FSIQ,Bin 1,1000,-0.0719815809049047,0.6304565144951683
2,ridge,adhd,WISC_FSIQ,Bin 2,9000,0.41008631020208797,0.007664111962679107
3,ridge,adhd,WISC_FSIQ,Bin 3,1000,-0.03385593781592551,0.5454848383872043
4,ridge,adhd,WISC_VSI,All  ,20000,0.2734759906333615,0.006664445184938354
5,ridge,adhd,WISC_VSI,Bin 1,1000,-0.16389162262169626,0.7524158613795402
6,ridge,adhd,WISC_VSI,Bin 2,20000,0.21021543329437184,0.11429523492169277
7,ridge,adhd,WISC_VSI,Bin 3,1000,,0.0003332222592469177
8,ridge,adhd,WISC_VCI,All  ,20000,0.31361642898602976,0.004665111629456847
9,ridge,adhd,WISC_VCI,Bin 1,1000,-0.09319994818817412,0.6417860713095634
10,ridge,adhd,WISC_VCI,Bin 2,11000,0.44415825684791244,0.003998667110963012
11,ridge,adhd,WISC_VCI,Bin 3,1000,0.016592505483703973,0.43218927024325227
12,ridge,adhd,WISC_FRI,All  ,20000,0.30006641569966985,0.006997667444185272
13,ridge,adhd,WISC_FRI,Bin 1,1000,-0.2739434075920727,0.8480506497834055
14,ridge,adhd,WISC_FRI,Bin 2,6000,0.3032271669068141,0.035654781739420195
15,ridge,adhd,WISC_FRI,Bin 3,1000,-0.13067824425359023,0.5694768410529824
16,ridge,adhd,WISC_WMI,All  ,1000,0.22467254913467635,0.027990669776741087
17,ridge,adhd,WISC_WMI,Bin 1,1000,0.10482678309122155,0.28923692102632453
18,ridge,adhd,WISC_WMI,Bin 2,20000,0.3008964554695935,0.030989670109963344
19,ridge,adhd,WISC_WMI,Bin 3,9000,-0.023002167889697514,0.43652115961346216
20,ridge,adhd,WISC_PSI,All  ,20000,0.16387189462453455,0.08430523158947018
21,ridge,adhd,WISC_PSI,Bin 1,14000,0.06465408808541179,0.3332222592469177
22,ridge,adhd,WISC_PSI,Bin 2,1000,-0.007589769750278855,0.5208263912029324
23,ridge,adhd,WISC_PSI,Bin 3,18000,0.40606100953879354,0.01432855714761746
