,Model,Population,Target,Bin,Score
0,pls,adhd,WISC_FSIQ,All,0.36995958458514866
1,pls,adhd,WISC_FSIQ,Bin 1,0.23825977856212696
2,pls,adhd,WISC_FSIQ,Bin 2,0.3729186386352128
3,pls,adhd,WISC_FSIQ,Bin 3,0.08856874101647341
4,pls,adhd,WISC_VSI,All,0.2704618174750849
5,pls,adhd,WISC_VSI,Bin 1,0.2806785935386969
6,pls,adhd,WISC_VSI,Bin 2,0.18855767909241603
7,pls,adhd,WISC_VSI,Bin 3,0.0933435772290874
8,pls,adhd,WISC_VCI,All,0.3653051426255108
9,pls,adhd,WISC_VCI,Bin 1,0.22533905566681312
10,pls,adhd,WISC_VCI,Bin 2,0.37707213895924413
11,pls,adhd,WISC_VCI,Bin 3,0.05518472601946942
12,pls,adhd,WISC_FRI,All,0.300729841863983
13,pls,adhd,WISC_FRI,Bin 1,0.03284365195001202
14,pls,adhd,WISC_FRI,Bin 2,0.3429926023744542
15,pls,adhd,WISC_FRI,Bin 3,0.060151374748532466
16,pls,adhd,WISC_WMI,All,0.1880820738460512
17,pls,adhd,WISC_WMI,Bin 1,0.06304329956439758
18,pls,adhd,WISC_WMI,Bin 2,0.26343304310094434
19,pls,adhd,WISC_WMI,Bin 3,0.11081391218715496
20,pls,adhd,WISC_PSI,All,0.03424739105866992
21,pls,adhd,WISC_PSI,Bin 1,-0.1276652619886743
22,pls,adhd,WISC_PSI,Bin 2,0.05938072970301168
23,pls,adhd,WISC_PSI,Bin 3,0.07802381275719436
