,Model,Population,Target,Bin,Score,P-value,FDR
0,pls,adhd,WISC_FSIQ,All,0.3732779288998941,0.0019960079840319,True
1,pls,adhd,WISC_FSIQ,Bin 1,0.2381931433627104,0.0239520958083832,True
2,pls,adhd,WISC_FSIQ,Bin 2,0.3682969944404929,0.0019960079840319,True
3,pls,adhd,WISC_FSIQ,Bin 3,0.0933544740571154,0.2135728542914171,False
4,pls,adhd,WISC_VSI,All,0.2812915365156919,0.0019960079840319,True
5,pls,adhd,WISC_VSI,Bin 1,0.2452520101031257,0.0139720558882235,True
6,pls,adhd,WISC_VSI,Bin 2,0.2007473682427743,0.0259481037924151,True
7,pls,adhd,WISC_VSI,Bin 3,0.1165415199480875,0.1676646706586826,False
8,pls,adhd,WISC_VCI,All,0.3657550523868647,0.0019960079840319,True
9,pls,adhd,WISC_VCI,Bin 1,0.2207532628971671,0.0219560878243512,True
10,pls,adhd,WISC_VCI,Bin 2,0.3959255844204314,0.0019960079840319,True
11,pls,adhd,WISC_VCI,Bin 3,0.0267063709471618,0.4111776447105788,False
12,pls,adhd,WISC_FRI,All,0.2978434433248182,0.0019960079840319,True
13,pls,adhd,WISC_FRI,Bin 1,0.0596930070912899,0.3033932135728543,False
14,pls,adhd,WISC_FRI,Bin 2,0.3036997759549218,0.0059880239520958,True
15,pls,adhd,WISC_FRI,Bin 3,0.0279287486010148,0.4011976047904191,False
16,pls,adhd,WISC_WMI,All,0.1660937591495358,0.0119760479041916,True
17,pls,adhd,WISC_WMI,Bin 1,0.0816474928000671,0.281437125748503,False
18,pls,adhd,WISC_WMI,Bin 2,0.2690828500519384,0.0099800399201596,True
19,pls,adhd,WISC_WMI,Bin 3,0.0985153753252031,0.1696606786427145,False
20,pls,adhd,WISC_PSI,All,0.0569778467198855,0.2275449101796407,False
21,pls,adhd,WISC_PSI,Bin 1,-0.0984143885126146,0.7764471057884231,False
22,pls,adhd,WISC_PSI,Bin 2,0.0431138903992932,0.313373253493014,False
23,pls,adhd,WISC_PSI,Bin 3,0.0702856113645419,0.313373253493014,False
