,Model,Population,Target,Bin,Alpha,Score
0,ridge,adhd,WISC_FSIQ,All,9901,0.36910554168069853
1,ridge,adhd,WISC_FSIQ,Bin 1,701,0.24778802757505097
2,ridge,adhd,WISC_FSIQ,Bin 2,5701,0.36502722986346225
3,ridge,adhd,WISC_FSIQ,Bin 3,1,0.02766147878360124
4,ridge,adhd,WISC_VSI,All,9901,0.3151424089085968
5,ridge,adhd,WISC_VSI,Bin 1,9901,0.2598592407424288
6,ridge,adhd,WISC_VSI,Bin 2,9901,0.20023374407887976
7,ridge,adhd,WISC_VSI,Bin 3,9901,0.0921244342664529
8,ridge,adhd,WISC_VCI,All,9601,0.3845102239386485
9,ridge,adhd,WISC_VCI,Bin 1,1,0.19929130181074023
10,ridge,adhd,WISC_VCI,Bin 2,9901,0.35512514993490024
11,ridge,adhd,WISC_VCI,Bin 3,7101,0.021182259880014723
12,ridge,adhd,WISC_FRI,All,9901,0.30041265258993544
13,ridge,adhd,WISC_FRI,Bin 1,2301,0.04404907805462227
14,ridge,adhd,WISC_FRI,Bin 2,8401,0.29406667257458624
15,ridge,adhd,WISC_FRI,Bin 3,1,0.024473071695862325
16,ridge,adhd,WISC_WMI,All,5501,0.2114898400443172
17,ridge,adhd,WISC_WMI,Bin 1,1,0.058198318228497595
18,ridge,adhd,WISC_WMI,Bin 2,4401,0.28544317265317903
19,ridge,adhd,WISC_WMI,Bin 3,9901,0.12103907222668658
20,ridge,adhd,WISC_PSI,All,9901,0.043462297810329335
21,ridge,adhd,WISC_PSI,Bin 1,9901,-0.09779885244226959
22,ridge,adhd,WISC_PSI,Bin 2,4401,0.05145565237288685
23,ridge,adhd,WISC_PSI,Bin 3,1,0.06369463599892994
