,Model,Population,Target,Bin,Score,P-value
0,pls,adhd,WISC_FSIQ,All,0.35306387905247083,0.0003332222592469177
1,pls,adhd,WISC_FSIQ,Bin 1,0.15173929020086982,0.09530156614461846
2,pls,adhd,WISC_FSIQ,Bin 2,0.3601675378581875,0.0003332222592469177
3,pls,adhd,WISC_FSIQ,Bin 3,0.10843605610181313,0.1789403532155948
4,pls,adhd,WISC_VSI,All,0.3293572693285182,0.0003332222592469177
5,pls,adhd,WISC_VSI,Bin 1,0.2052393888219043,0.03632122625791403
6,pls,adhd,WISC_VSI,Bin 2,0.19724862318696254,0.02465844718427191
7,pls,adhd,WISC_VSI,Bin 3,0.16563069327231567,0.07130956347884039
8,pls,adhd,WISC_VCI,All,0.3685985520667066,0.0003332222592469177
9,pls,adhd,WISC_VCI,Bin 1,0.16231793736118091,0.08497167610796401
10,pls,adhd,WISC_VCI,Bin 2,0.3613233103726738,0.0003332222592469177
11,pls,adhd,WISC_VCI,Bin 3,0.0565208241377929,0.3195601466177941
