,Model,Population,Target,Bin,Alpha,Score,P-value
0,ridge,adhd,WISC_FSIQ,All  ,19000,0.37543143020424613,0.0003332222592469177
1,ridge,adhd,WISC_FSIQ,Bin 1,10000,0.35711821000437227,0.001999333555481506
2,ridge,adhd,WISC_FSIQ,Bin 2,1000,0.3902874552871233,0.0003332222592469177
3,ridge,adhd,WISC_FSIQ,Bin 3,19000,-0.030799570667886605,0.5898033988670444
4,ridge,adhd,WISC_VSI,All  ,19000,0.32780173019528824,0.0003332222592469177
5,ridge,adhd,WISC_VSI,Bin 1,19000,0.29324738447125887,0.006997667444185272
6,ridge,adhd,WISC_VSI,Bin 2,19000,0.32052574280660673,0.000999666777740753
7,ridge,adhd,WISC_VSI,Bin 3,19000,-0.010052916669458392,0.5401532822392536
8,ridge,adhd,WISC_VCI,All  ,10000,0.38862967058849984,0.0003332222592469177
9,ridge,adhd,WISC_VCI,Bin 1,1000,0.2809983415439481,0.010329890036654448
10,ridge,adhd,WISC_VCI,Bin 2,13000,0.3265556037291163,0.0013328890369876708
11,ridge,adhd,WISC_VCI,Bin 3,19000,-0.008801947636727042,0.5334888370543153
12,ridge,adhd,WISC_FRI,All  ,19000,0.23508419915006187,0.0003332222592469177
13,ridge,adhd,WISC_FRI,Bin 1,19000,0.11139482465064594,0.19660113295568143
14,ridge,adhd,WISC_FRI,Bin 2,13000,0.22911724862947438,0.019326891036321226
15,ridge,adhd,WISC_FRI,Bin 3,19000,-0.09377000499474632,0.7544151949350216
16,ridge,adhd,WISC_WMI,All  ,4000,0.134390049524803,0.030989670109963344
17,ridge,adhd,WISC_WMI,Bin 1,1000,0.11649625314822093,0.1789403532155948
18,ridge,adhd,WISC_WMI,Bin 2,1000,0.27780283965334424,0.008330556481172943
19,ridge,adhd,WISC_WMI,Bin 3,19000,-0.03322032845780829,0.6067977340886371
20,ridge,adhd,WISC_PSI,All  ,19000,0.055030719410439737,0.22859046984338555
21,ridge,adhd,WISC_PSI,Bin 1,1000,-0.06612822396954367,0.7174275241586138
22,ridge,adhd,WISC_PSI,Bin 2,19000,0.16361784705431262,0.08163945351549484
23,ridge,adhd,WISC_PSI,Bin 3,1000,0.07738441207824166,0.2745751416194602
